Counts_SAQuant_Day_0_1_1	Counts_SAQuant_Day_0_2_1	Counts_SAQuant_Day_0_3_1	Counts_SAQuant_Day_7_1_1	Counts_SAQuant_Day_7_2_1	Counts_SAQuant_Day_7_3_1
ACD	1720	1477	1396	778	803	841
ACE	28	34	30	33	27	43
ACE2	9	8	7	10	7	10
ACER1	0	0	0	0	0	0
ACER2	126	85	96	37	44	47
ACER3	2262	1953	1927	1333	1338	1435
ACHE	36	27	26	27	28	30
ACIN1	16979	15402	14149	15565	16247	16852
ACKR1	0	0	0	1	0	0
ACKR2	58	67	67	58	56	49
ACKR3	2	7	5	46	48	65
ACKR4	15	12	20	9	13	11
ACLY	21239	18440	17814	13545	13697	14508
ACMSD	5	2	5	7	6	2
ACO1	4703	3998	4035	3869	3731	4025
ACO2	7371	6377	6161	7099	6973	7364
ACOD1	1	0	0	0	0	0
ACOT1	841	713	692	715	705	809
ACOT11	639	580	518	164	166	158
ACOT12	8	3	7	21	21	25
ACOT13	2679	2414	2157	1255	1275	1402
ACOT2	3478	3048	2761	2169	2322	2397
ACOT4	195	183	173	88	100	105
ACOT6	22	13	13	17	22	15
ACOT7	4671	4172	3856	3116	3119	3314
ACOT8	1038	908	792	728	816	833
ACOT9	2389	2021	2012	1837	1809	1906
ACOX1	3662	3247	3108	3362	3368	3552
ACOX2	213	175	183	74	81	85
ACOX3	1421	1348	1233	1509	1582	1648
ACOXL	38	37	33	16	21	15
ACP1	7849	6701	6326	4826	4901	4880
ACP2	760	674	564	935	993	1027
ACP5	311	276	243	92	109	116
ACP6	6032	5108	4968	1391	1447	1558
ACP7	266	228	241	153	164	164
ACPP	377	285	307	114	131	109
ACPT	25	23	33	22	20	20
ACR	5	5	6	8	2	5
ACRBP	28	16	22	49	56	38
ACRC	93	91	91	61	75	71
ACRV1	40	34	25	35	19	39
ACSBG1	52	49	43	42	72	47
ACSBG2	88	88	74	62	79	75
ACSF2	1419	1185	1114	1822	1827	1885
ACSF3	1288	1173	1027	1265	1369	1434
ACSL1	7492	6346	6112	2038	2039	2145
ACSL3	15243	13019	12664	6889	6797	7483
ACSL4	5264	4575	4376	3916	4224	4267
ACSL5	106	84	92	433	412	451
ACSL6	50	41	42	44	41	55
ACSM1	0	1	3	1	0	0
ACSM2A	9	6	4	1	8	6
ACSM2B	0	0	0	0	0	0
ACSM3	1318	1169	1083	563	560	613
ACSM4	54	40	45	64	48	60
ACSM5	0	0	0	0	0	0
ACSM6	17	13	19	11	5	11
ACSS1	833	811	686	1334	1349	1438
ACSS2	1742	1655	1542	722	731	802
ACSS3	9	8	5	3	6	7
ACTA1	4	2	12	7	7	5
ACTA2	33	24	26	35	31	47
ACTB	107445	96820	91024	84552	86685	91541
ACTBL2	15	10	15	8	12	7
ACTC1	1	0	0	1	0	0
ACTG1	235005	205012	192806	197588	197669	212750
ACTG1P17	38	37	46	38	33	24
ACTG1P20	284	241	247	344	325	349
ACTG1P4	60	48	32	60	63	67
ACTG2	7	9	10	44	34	44
ACTL10	59	57	36	30	67	49
ACTL6A	7565	6525	6501	3985	4003	4304
ACTL6B	0	2	0	2	0	0
ACTL7A	0	0	0	0	0	1
ACTL7B	1	0	1	1	0	0
ACTL8	1	0	1	9	3	3
ACTL9	0	0	0	0	0	0
ACTN1	10565	9202	8761	9449	9664	10192
ACTN2	3	3	0	0	1	0
ACTN3	1	2	2	2	3	2
ACTN4	49055	44698	40771	27776	29094	30033
ACTR10	4478	3869	3823	4519	4423	4625
ACTR1A	4509	3881	3868	3290	3327	3528
ACTR1B	5261	4684	4279	3616	3718	3814
ACTR2	21215	18237	17923	16537	16952	17681
ACTR3	23340	20149	19386	13756	13807	14387
ACTR3B	1443	1191	1133	920	913	900
ACTR3BP2	1	1	0	1	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	310	234	201	121	142	159
ACTR5	1172	1011	961	939	959	994
ACTR6	2304	1989	1762	1423	1352	1522
ACTR8	2125	1781	1723	1942	1919	2015
ACTRT1	3	1	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	205	165	134	224	261	230
ACVR1	1709	1440	1416	1517	1520	1615
ACVR1B	1346	1097	1129	1236	1364	1319
ACVR1C	119	96	100	67	57	64
ACVR2A	532	428	438	574	565	629
ACVR2B	1673	1461	1430	1643	1711	1766
ACVRL1	18	17	16	13	12	9
ACY1	2405	2027	1841	1630	1525	1795
ACY3	18	13	12	56	33	43
ACYP1	1012	858	837	514	526	584
ACYP2	590	483	448	492	595	544
ADA	385	309	319	325	340	362
ADAD1	0	0	0	0	0	0
ADAD2	6	3	6	2	1	6
ADAL	688	576	551	673	680	762
ADAM10	7630	6435	6363	6903	7261	7518
ADAM11	113	108	81	134	176	163
ADAM12	28	16	6	17	12	12
ADAM15	20231	17850	16732	10020	10117	10705
ADAM17	5126	4427	4237	4638	4674	4977
ADAM18	2	1	1	5	6	3
ADAM19	3634	3144	3003	1519	1532	1682
ADAM1A	180	159	138	194	189	189
ADAM2	11	13	4	0	0	1
ADAM20	2	4	1	4	6	6
ADAM20P1	13	11	13	24	18	17
ADAM21	15	21	16	29	29	25
ADAM21P1	1	0	2	7	3	1
ADAM22	669	500	580	875	914	1007
